"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 13 12:40:32 GMT 2025","Sun Apr 13 12:41:07 GMT 2025","35463","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest1","User should be able to create a new project",""
"passed","Sun Apr 13 12:41:20 GMT 2025","Sun Apr 13 12:41:32 GMT 2025","11531","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"broken","Sun Apr 13 12:41:32 GMT 2025","Sun Apr 13 12:44:34 GMT 2025","182561","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"failed","Sun Apr 13 12:39:09 GMT 2025","Sun Apr 13 12:39:55 GMT 2025","46286","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
"passed","Sun Apr 13 12:41:07 GMT 2025","Sun Apr 13 12:41:20 GMT 2025","12663","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"failed","Sun Apr 13 12:39:55 GMT 2025","Sun Apr 13 12:40:32 GMT 2025","36430","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCannotCreateProjectWithMissingOptionalFieldTest","User cannot create a new project with missing optional field",""
