"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 13 08:15:24 GMT 2025","Sun Apr 13 08:15:42 GMT 2025","18257","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest1","User should be able to create a new project",""
"failed","Sun Apr 13 08:15:42 GMT 2025","Sun Apr 13 08:15:52 GMT 2025","9616","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"failed","Sun Apr 13 08:14:35 GMT 2025","Sun Apr 13 08:14:52 GMT 2025","16935","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
"passed","Sun Apr 13 08:15:52 GMT 2025","Sun Apr 13 08:16:07 GMT 2025","14870","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"failed","Sun Apr 13 08:14:52 GMT 2025","Sun Apr 13 08:15:24 GMT 2025","32243","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCannotCreateProjectWithMissingOptionalFieldTest","User cannot create a new project with missing optional field",""
"broken","Sun Apr 13 08:16:07 GMT 2025","Sun Apr 13 08:19:10 GMT 2025","182966","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
