"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 00:57:42 GMT 2025","Tue Apr 15 00:58:25 GMT 2025","43046","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"passed","Tue Apr 15 00:57:41 GMT 2025","Tue Apr 15 00:57:42 GMT 2025","1252","","com.example.teamcity.api.CreateBuildTypeApiTest","","com.example.teamcity.api.CreateBuildTypeApiTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue Apr 15 00:58:25 GMT 2025","Tue Apr 15 00:58:47 GMT 2025","21836","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationViaUiTest","User should be able to create a new build configuration via UI clicks",""
"broken","Tue Apr 15 00:58:47 GMT 2025","Tue Apr 15 01:01:50 GMT 2025","183218","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Tue Apr 15 00:57:35 GMT 2025","Tue Apr 15 00:57:41 GMT 2025","6005","","com.example.teamcity.api.TeamcityCreateProjectTest","","com.example.teamcity.api.TeamcityCreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
