"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 08:43:35 GMT 2025","Sun Apr 13 08:43:50 GMT 2025","14883","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"broken","Sun Apr 13 08:43:50 GMT 2025","Sun Apr 13 08:46:53 GMT 2025","183339","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"failed","Sun Apr 13 08:42:16 GMT 2025","Sun Apr 13 08:42:34 GMT 2025","18115","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
"failed","Sun Apr 13 08:42:34 GMT 2025","Sun Apr 13 08:43:06 GMT 2025","32398","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCannotCreateProjectWithMissingOptionalFieldTest","User cannot create a new project with missing optional field",""
"failed","Sun Apr 13 08:43:06 GMT 2025","Sun Apr 13 08:43:16 GMT 2025","9737","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest1","User should be able to create a new project",""
"passed","Sun Apr 13 08:43:16 GMT 2025","Sun Apr 13 08:43:35 GMT 2025","18441","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
