"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 14 08:53:39 GMT 2025","Mon Apr 14 08:54:45 GMT 2025","65943","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"failed","Mon Apr 14 08:54:45 GMT 2025","Mon Apr 14 08:55:20 GMT 2025","35741","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"broken","Mon Apr 14 08:55:21 GMT 2025","Mon Apr 14 08:58:23 GMT 2025","182096","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
