"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 15 00:05:24 GMT 2025","Tue Apr 15 00:05:29 GMT 2025","5534","","com.example.teamcity.api.TeamcityCreateProjectTest","","com.example.teamcity.api.TeamcityCreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
"passed","Tue Apr 15 00:05:31 GMT 2025","Tue Apr 15 00:06:12 GMT 2025","40815","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"broken","Tue Apr 15 00:06:12 GMT 2025","Tue Apr 15 00:06:16 GMT 2025","3714","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationViaUiTest","User should be able to create a new build configuration via UI clicks",""
"passed","Tue Apr 15 00:05:30 GMT 2025","Tue Apr 15 00:05:31 GMT 2025","1692","","com.example.teamcity.api.CreateBuildTypeApiTest","","com.example.teamcity.api.CreateBuildTypeApiTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"broken","Tue Apr 15 00:06:16 GMT 2025","Tue Apr 15 00:09:19 GMT 2025","183062","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
