"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 13 08:51:23 GMT 2025","Sun Apr 13 08:51:32 GMT 2025","9062","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest1","User should be able to create a new project",""
"failed","Sun Apr 13 08:51:32 GMT 2025","Sun Apr 13 08:51:43 GMT 2025","10912","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"passed","Sun Apr 13 08:51:43 GMT 2025","Sun Apr 13 08:52:06 GMT 2025","22318","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"failed","Sun Apr 13 08:50:53 GMT 2025","Sun Apr 13 08:51:11 GMT 2025","18198","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
"failed","Sun Apr 13 08:51:11 GMT 2025","Sun Apr 13 08:51:23 GMT 2025","12308","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCannotCreateProjectWithMissingOptionalFieldTest","User cannot create a new project with missing optional field",""
"broken","Sun Apr 13 08:52:06 GMT 2025","Sun Apr 13 08:55:09 GMT 2025","183053","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
