"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 22:23:31 GMT 2025","Sun Apr 13 22:23:32 GMT 2025","1433","","com.example.teamcity.api.CreateBuildTypeApiTest","","com.example.teamcity.api.CreateBuildTypeApiTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Apr 13 22:22:21 GMT 2025","Sun Apr 13 22:23:15 GMT 2025","54001","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Sun Apr 13 22:23:25 GMT 2025","Sun Apr 13 22:23:31 GMT 2025","5674","","com.example.teamcity.api.TeamcityCreateProjectTest","","com.example.teamcity.api.TeamcityCreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
