"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 13 14:52:30 GMT 2025","Sun Apr 13 14:55:32 GMT 2025","182597","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"failed","Sun Apr 13 14:51:40 GMT 2025","Sun Apr 13 14:52:30 GMT 2025","49629","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"failed","Sun Apr 13 14:50:53 GMT 2025","Sun Apr 13 14:51:40 GMT 2025","46870","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
