"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 13 13:19:02 GMT 2025","Sun Apr 13 13:22:05 GMT 2025","182362","","com.example.teamcity.ui.SetUpServerTest","","com.example.teamcity.ui.SetUpServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Sun Apr 13 13:18:52 GMT 2025","Sun Apr 13 13:19:02 GMT 2025","9725","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationTest","User should be able to create a new build configuration",""
"failed","Sun Apr 13 13:17:20 GMT 2025","Sun Apr 13 13:17:54 GMT 2025","34348","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCannotCreateProjectWithMissingOptionalFieldTest","User cannot create a new project with missing optional field",""
"failed","Sun Apr 13 13:17:54 GMT 2025","Sun Apr 13 13:18:39 GMT 2025","44562","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest1","User should be able to create a new project",""
"passed","Sun Apr 13 13:18:39 GMT 2025","Sun Apr 13 13:18:52 GMT 2025","13729","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"failed","Sun Apr 13 13:16:33 GMT 2025","Sun Apr 13 13:17:20 GMT 2025","47072","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create a new project",""
