"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 14 22:08:15 GMT 2025","Mon Apr 14 22:09:14 GMT 2025","58673","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildConfigurationWithMissingRequiredFieldTest","User cannot create a new build configuration with missing required field",""
"broken","Mon Apr 14 22:09:35 GMT 2025","Mon Apr 14 22:12:38 GMT 2025","183170","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"failed","Mon Apr 14 22:09:35 GMT 2025","Mon Apr 14 22:09:35 GMT 2025","25","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","willFailIfIncludedAccidentallysSecond","willFailIfIncludedAccidentallysSecond()",""
"failed","Mon Apr 14 22:08:12 GMT 2025","Mon Apr 14 22:08:15 GMT 2025","2904","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","willFailIfIncludedAccidentally","willFailIfIncludedAccidentally()",""
"passed","Mon Apr 14 22:09:14 GMT 2025","Mon Apr 14 22:09:35 GMT 2025","20624","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationViaUiTest","User should be able to create a new build configuration via UI clicks",""
